id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
2384,Hyde Park,60637,41.78886,-87.58671,Condominium,Private room,1,1,1,1,$50.00 ,100
4505,South Lawndale,60608,41.85495,-87.69696,Apartment,Entire home/apt,7,1,3,4,$117.00 ,96
7126,West Town,60622,41.90289,-87.68182,Apartment,Entire home/apt,2,1,1,1,$80.00 ,93
9811,Lincoln Park,60614,41.91769,-87.63788,Apartment,Entire home/apt,4,1,1,2,$150.00 ,92
10610,Hyde Park,60615,41.79708,-87.59195,Apartment,Private room,2,1,1,1,$35.00 ,85
10945,Lincoln Park,60614,41.91183,-87.64,Apartment,Entire home/apt,4,1,2,2,$215.00 ,89
12140,Lincoln Park,60614,41.92335,-87.64951,Boutique hotel,Private room,2,1,1,1,$289.00 ,100
22362,West Town,60642,41.89617,-87.66041,Apartment,Entire home/apt,4,2,2,2,$99.00 ,93
24833,Lincoln Park,60614,41.92679,-87.65521,Apartment,Entire home/apt,3,1,0,1,$99.00 ,85
25269,Lincoln Park,60614,41.91423,-87.63846,Apartment,Entire home/apt,7,1,2,4,$145.00 ,86
25879,Lincoln Park,60614,41.92693,-87.65753,Apartment,Entire home/apt,6,1,2,3,$99.00 ,86
28749,Logan Square,60647,41.92083,-87.6801,Guest suite,Entire home/apt,6,2,3,3,$250.00 ,89
37738,Uptown,60640,41.97385,-87.66539,House,Private room,2,1.5,1,1,$77.00 ,100
39742,Near North Side,60654,41.89377,-87.63465,Condominium,Private room,2,1,1,1,$75.00 ,94
44020,Lincoln Park,60614,41.92673,-87.65731,Apartment,Entire home/apt,6,1,2,4,$80.00 ,80
46151,Lincoln Park,60614,41.91331,-87.63964,Apartment,Entire home/apt,4,1,1,1,$75.00 ,87
46154,Lincoln Park,60614,41.91287,-87.63979,Apartment,Entire home/apt,3,1,1,2,$65.00 ,89
56802,Lincoln Park,60614,41.91264,-87.63979,Apartment,Entire home/apt,6,2,2,2,$155.00 ,88
71930,West Town,60622,41.89687,-87.67989,Apartment,Private room,2,1,1,1,$59.00 ,96
79101,Uptown,60640,41.96792,-87.65757,House,Private room,6,2.5,1,4,$180.00 ,96
84042,West Town,60622,41.89693,-87.68033,Apartment,Private room,2,1,1,1,$55.00 ,98
110705,Uptown,60640,41.9693,-87.65621,House,Private room,2,1,1,1,$99.00 ,97
126280,Uptown,60640,41.96804,-87.65123,Apartment,Private room,1,1,1,1,$48.00 ,98
133262,West Town,60612,41.89243,-87.68078,Apartment,Entire home/apt,3,1,2,2,$65.00 ,98
144840,Lake View,60657,41.94079,-87.65763,Apartment,Entire home/apt,8,2,3,4,$225.00 ,99
145659,North Center,60618,41.94364,-87.68155,Apartment,Entire home/apt,8,2,3,4,$275.00 ,94
145690,Lincoln Park,60614,41.91351,-87.63929,Apartment,Entire home/apt,10,2,4,5,$475.00 ,94
165952,Lake View,60657,41.94274,-87.67321,Apartment,Entire home/apt,4,1,2,2,$198.00 ,91
166667,North Center,60657,41.94274,-87.67378,Apartment,Entire home/apt,3,1,1,1,$125.00 ,90
166706,Lake View,60657,41.94221,-87.67327,Apartment,Entire home/apt,8,2,3,3,$280.00 ,82
172616,West Town,60622,41.89753,-87.67315,Apartment,Entire home/apt,3,1,2,2,$75.00 ,96
175511,Irving Park,60618,41.96012,-87.72158,Condominium,Entire home/apt,4,1,1,1,$67.00 ,97
184764,Portage Park,60641,41.94325,-87.75403,House,Private room,2,1,1,1,$85.00 ,95
189821,Logan Square,60647,41.92973,-87.7012,Apartment,Entire home/apt,5,1,2,3,$150.00 ,99
192652,West Town,60622,41.90136,-87.67973,Apartment,Private room,2,1,1,1,$75.00 ,95
198135,North Center,60618,41.95935,-87.67963,Apartment,Private room,2,1,1,1,$44.00 ,99
207218,Pullman,60628,41.6883,-87.60892,Townhouse,Entire home/apt,3,1,1,1,$90.00 ,98
221109,West Town,60642,41.89273,-87.65654,Apartment,Entire home/apt,2,1,1,1,$115.00 ,96
225314,Logan Square,60647,41.92543,-87.69593,House,Private room,1,1,1,1,$75.00 ,98
228273,Lincoln Park,60614,41.93126,-87.65227,Condominium,Private room,2,1,1,1,$109.00 ,100
230836,Uptown,60640,41.96331,-87.66088,Condominium,Private room,2,1,1,1,$125.00 ,90
233933,Irving Park,60641,41.95602,-87.72781,House,Private room,2,1,1,1,$55.00 ,96
234442,Lincoln Park,60614,41.91337,-87.63918,Apartment,Entire home/apt,4,1,1,2,$85.00 ,88
236792,Uptown,60613,41.95939,-87.65441,Condominium,Entire home/apt,2,1,1,1,$125.00 ,98
242751,Lincoln Park,60614,41.91291,-87.63839,Apartment,Entire home/apt,4,1,1,2,$75.00 ,90
244439,Near West Side,60607,41.88565,-87.65307,Apartment,Entire home/apt,5,2,2,2,$134.00 ,93
248791,Uptown,60640,41.96797,-87.65791,House,Private room,2,1.5,2,0,$90.00 ,98
250354,Near South Side,60616,41.86051,-87.62399,Condominium,Entire home/apt,2,1,1,1,$170.00 ,97
258253,West Ridge,60645,42.00692,-87.68438,Apartment,Entire home/apt,2,1,1,1,$48.00 ,98
261509,Near North Side,60610,41.90314,-87.63494,Apartment,Entire home/apt,2,1,1,1,$149.00 ,97
264547,Near West Side,60661,41.88467,-87.64487,Condominium,Entire home/apt,3,1.5,2,2,$195.00 ,97
265238,North Center,60618,41.96084,-87.68463,Apartment,Entire home/apt,1,1,1,1,$56.00 ,
267646,Logan Square,60647,41.92716,-87.70471,Bungalow,Private room,2,1,1,1,$97.00 ,99
272728,Chatham,60619,41.72763,-87.61307,House,Private room,2,1,1,1,$40.00 ,94
275496,Near West Side,60606,41.88623,-87.6404,Loft,Entire home/apt,6,2,3,3,$175.00 ,82
289689,Edgewater,60640,41.97794,-87.65764,Condominium,Private room,1,1,1,1,$25.00 ,95
289884,Logan Square,60647,41.92177,-87.68277,House,Private room,4,2,1,1,$125.00 ,96
290155,Bridgeport,60609,41.82702,-87.63967,Apartment,Entire home/apt,6,1.5,3,3,$125.00 ,96
298321,Woodlawn,60637,41.78216,-87.59027,Apartment,Private room,3,,1,1,$47.00 ,96
312192,Bridgeport,60609,41.82767,-87.63959,Apartment,Entire home/apt,6,1.5,2,2,$167.00 ,94
313227,Albany Park,60625,41.96331,-87.70916,Apartment,Entire home/apt,2,1,1,1,$85.00 ,98
325842,Lincoln Park,60614,41.92026,-87.65892,House,Entire home/apt,6,2.5,5,5,$379.00 ,98
345075,Kenwood,60615,41.8077,-87.59436,Condominium,Private room,2,1,1,1,$85.00 ,99
349265,Hyde Park,60615,41.80086,-87.58948,Townhouse,Entire home/apt,7,2,4,5,$375.00 ,100
350347,Lake View,60657,41.93986,-87.65473,Loft,Entire home/apt,4,2,2,2,$136.00 ,98
363702,Rogers Park,60626,41.9991,-87.67146,House,Private room,2,1,1,1,$30.00 ,97
372929,West Town,60642,41.89862,-87.65597,House,Entire home/apt,12,3,3,7,$295.00 ,96
395257,Douglas,60653,41.82869,-87.62058,House,Private room,2,1,1,1,$40.00 ,96
397472,Rogers Park,60626,42.01455,-87.66511,Apartment,Entire home/apt,6,1,2,4,$71.00 ,86
400588,Rogers Park,60626,42.00223,-87.67124,House,Private room,2,1,1,1,$60.00 ,90
