Community,Count,Population,Rate of Crime
DOUGLAS,2695.00,28770.00,9.367396594
OAKLAND,650.00,5181.00,12.54584057
FULLER PARK,1314.00,3220.00,40.80745342
GRAND BOULEVARD,1888.00,26631.00,7.089482182
KENWOOD,4869.00,12982.00,37.50577723
LINCOLN SQUARE,5872.00,46881.00,12.52533009
WASHINGTON PARK,4419.00,18077.00,24.44542789
HYDE PARK,924.00,28394.00,3.254208636
WOODLAWN,2452.00,25743.00,9.524919396
ROGERS PARK,963.00,53470.00,1.801009912
JEFFERSON PARK,10791.00,27934.00,38.63034295
FOREST GLEN,9327.00,18568.00,50.23158121
NORTH PARK,6216.00,13097.00,47.46125067
ALBANY PARK,3505.00,50485.00,6.942656235
PORTAGE PARK,4947.00,72581.00,6.815833345
IRVING PARK,2390.00,55174.00,4.331750462
DUNNING,1220.00,43414.00,2.810153407
MONTCLARE,8029.00,7406.00,108.4120983
BELMONT CRAGIN,2828.00,78037.00,3.623921986
WEST RIDGE,1009.00,75185.00,1.34202301
HERMOSA,2139.00,28720.00,7.447771588
AVONDALE,1022.00,33327.00,3.066582651
LOGAN SQUARE,1462.00,77219.00,1.893316412
HUMBOLDT PARK,619.00,44841.00,1.380433086
WEST TOWN,839.00,84660.00,0.991022915
AUSTIN,5660.00,97604.00,5.798942666
WEST GARFIELD PARK,15130.00,20146.00,75.10175717
EAST GARFIELD PARK,3212.00,21745.00,14.77121177
NEAR WEST SIDE,2080.00,62655.00,3.319766978
NORTH LAWNDALE,488.00,36529.00,1.335924882
UPTOWN,1510.00,54001.00,2.796244514
SOUTH LAWNDALE,384.00,64000.00,0.6
LOWER WEST SIDE,2812.00,35783.00,7.858480284
NEAR SOUTH SIDE,3271.00,26324.00,12.42592311
ARMOUR SQUARE,3541.00,9906.00,35.74601252
NORWOOD PARK,250.00,32589.00,0.767130013
NEAR NORTH SIDE,6351.00,96466.00,6.583666784
LOOP,1111.00,32936.00,3.373208647
SOUTH SHORE,2234.00,42198.00,5.294089767
CHATHAM,4347.00,35326.00,12.30538414
AVALON PARK,7080.00,7033.00,100.6682781
SOUTH CHICAGO,6468.00,30009.00,21.55353394
BURNSIDE,4553.00,1703.00,267.3517322
CALUMET HEIGHTS,1753.00,12664.00,13.84238787
ROSELAND,5740.00,41498.00,13.8319919
NORTH CENTER,864.00,35406.00,2.440264362
PULLMAN,1509.00,8359.00,18.05239861
SOUTH DEERING,1382.00,11555.00,11.96019039
EAST SIDE,1695.00,25925.00,6.538090646
WEST PULLMAN,2408.00,27799.00,8.662182093
RIVERDALE,1358.00,6565.00,20.68545316
HEGEWISCH,570.00,9745.00,5.849153412
GARFIELD RIDGE,9408.00,36806.00,25.56104983
ARCHER HEIGHTS,7239.00,16592.00,43.62945998
BRIGHTON PARK,8625.00,41813.00,20.62755602
MCKINLEY PARK,1982.00,13778.00,14.38525185
LAKE VIEW,1969.00,102584.00,1.919402636
BRIDGEPORT,3656.00,31893.00,11.46333051
NEW CITY,2105.00,42047.00,5.006302471
WEST ELSDON,1151.00,16218.00,7.097052658
GAGE PARK,4255.00,40699.00,10.45480233
CLEARING,3807.00,28563.00,13.32843189
WEST LAWN,7410.00,31134.00,23.80034689
CHICAGO LAWN,6937.00,48376.00,14.33975525
WEST ENGLEWOOD,1151.00,32410.00,3.551373033
ENGLEWOOD,1018.00,27383.00,3.717635029
GREATER GRAND CROSSING,13022.00,33003.00,39.45701906
LINCOLN PARK,4984.00,65711.00,7.584727062
ASHBURN,4052.00,41782.00,9.697956058
AUBURN GRESHAM,1777.00,46817.00,3.795629793
BEVERLY,3165.00,19969.00,15.84956683
WASHINGTON HEIGHTS,911.00,28062.00,3.246383009
MOUNT GREENWOOD,628.00,16878.00,3.720820002
MORGAN PARK,1399.00,23900.00,5.853556485
OHARE,1109.00,10222.00,10.84914889
EDGEWATER,650.00,56536.00,1.149709919
EDISON PARK,1199.00,10856.00,11.04458364
