Community,Count,Population,Rate of Crime
DOUGLAS,2695,28770,9.367396594
OAKLAND,650,5181,12.54584057
FULLER PARK,1314,3220,40.80745342
GRAND BOULEVARD,1888,26631,7.089482182
KENWOOD,4869,12982,37.50577723
LINCOLN SQUARE,5872,46881,12.52533009
WASHINGTON PARK,4419,18077,24.44542789
HYDE PARK,924,28394,3.254208636
WOODLAWN,2452,25743,9.524919396
ROGERS PARK,963,53470,1.801009912
JEFFERSON PARK,10791,27934,38.63034295
FOREST GLEN,9327,18568,50.23158121
NORTH PARK,6216,13097,47.46125067
ALBANY PARK,3505,50485,6.942656235
PORTAGE PARK,4947,72581,6.815833345
IRVING PARK,2390,55174,4.331750462
DUNNING,1220,43414,2.810153407
MONTCLARE,619,7406,8.358
BELMONT CRAGIN,2828,78037,3.623921986
WEST RIDGE,1009,75185,1.34202301
HERMOSA,2139,28720,7.447771588
AVONDALE,1022,33327,3.066582651
LOGAN SQUARE,1462,77219,1.893316412
HUMBOLDT PARK,619,44841,1.380433086
WEST TOWN,839,84660,0.991022915
AUSTIN,5660,97604,5.798942666
WEST GARFIELD PARK,15130,20146,75.10175717
EAST GARFIELD PARK,3212,21745,14.77121177
NEAR WEST SIDE,2080,62655,3.319766978
NORTH LAWNDALE,488,36529,1.335924882
UPTOWN,1510,54001,2.796244514
SOUTH LAWNDALE,384,64000,0.6
LOWER WEST SIDE,2812,35783,7.858480284
NEAR SOUTH SIDE,3271,26324,12.42592311
ARMOUR SQUARE,3541,9906,35.74601252
NORWOOD PARK,250,32589,0.767130013
NEAR NORTH SIDE,6351,96466,6.583666784
LOOP,1111,32936,3.373208647
SOUTH SHORE,2234,42198,5.294089767
CHATHAM,4347,35326,12.30538414
AVALON PARK,1151,7033,16.3657
SOUTH CHICAGO,6468,30009,21.55353394
BURNSIDE,384,1703,22.5484
CALUMET HEIGHTS,1753,12664,13.84238787
ROSELAND,5740,41498,13.8319919
NORTH CENTER,864,35406,2.440264362
PULLMAN,1509,8359,18.05239861
SOUTH DEERING,1382,11555,11.96019039
EAST SIDE,1695,25925,6.538090646
WEST PULLMAN,2408,27799,8.662182093
RIVERDALE,1358,6565,20.68545316
HEGEWISCH,570,9745,5.849153412
GARFIELD RIDGE,9408,36806,25.56104983
ARCHER HEIGHTS,7239,16592,43.62945998
BRIGHTON PARK,8625,41813,20.62755602
MCKINLEY PARK,1982,13778,14.38525185
LAKE VIEW,1969,102584,1.919402636
BRIDGEPORT,3656,31893,11.46333051
NEW CITY,2105,42047,5.006302471
WEST ELSDON,1151,16218,7.097052658
GAGE PARK,4255,40699,10.45480233
CLEARING,3807,28563,13.32843189
WEST LAWN,7410,31134,23.80034689
CHICAGO LAWN,6937,48376,14.33975525
WEST ENGLEWOOD,1151,32410,3.551373033
ENGLEWOOD,1018,27383,3.717635029
GREATER GRAND CROSSING,13022,33003,39.45701906
LINCOLN PARK,4984,65711,7.584727062
ASHBURN,4052,41782,9.697956058
AUBURN GRESHAM,1777,46817,3.795629793
BEVERLY,3165,19969,15.84956683
WASHINGTON HEIGHTS,911,28062,3.246383009
MOUNT GREENWOOD,628,16878,3.720820002
MORGAN PARK,1399,23900,5.853556485
OHARE,1109,10222,10.84914889
EDGEWATER,650,56536,1.149709919
EDISON PARK,1199,10856,11.04458364
